id,妻の回答,夫の回答,子の回答,回答子,q1.1.1,q1.1.2,q1.2.1,q1.2.2,q1a,q1.3.1,q1.3.2,q1.3.3,q1.3.4,q1.3.5,q1.4.1,q1.4.2,q1.4.3,q1.4.4,q1.4.5,q1.5.1,q1.5.2,q1.5.3,q1.5.4,q1.5.5,q1.6.1,q1.6.2,q1.6.3,q1.6.4,q1.6.5,q2,q3,q4
2701,1,1,1,1,2,40,1,44,2,2,16,5,1,2,1,14,4,1,2, , , , , , , , , , ,18,1,5
2702,1,1,1,1,2,44,1,51,2,2,9,3,1,2,1,5,1,1,2, , , , , , , , , , ,14,4,14
2703,1,1, , ,2,43,1,46,0, , , , , , , , , , , , , , , , , , , , ,11,1,6
2711,1,1, , ,2,35,1,38,2,1,6,1,1,2,1,3,1,1,2, , , , , , , , , , ,8,1,8
2712,1,1,1,2,2,44,1,45,3,2,19,6,1,2,2,16,5,1,2,2,13,4,1,2, , , , , ,20,1,8
2714,1,1, , ,2,40,1,43,2,1,7,2,1,2,2,3,1,1,2, , , , , , , , , , ,8,1,6
2717,1,1,1,1,2,37,1,39,2,2,9,3,1,2,1,6,2,1,2, , , , , , , , , , ,15,1,11
2718,1,1, , ,2,39,1,40,0, , , , , , , , , , , , , , , , , , , , ,15,4,15
2719,1,1,1,1,2,41,1,47,2,1,17,5,1,2,2,7,2,1,2, , , , , , , , , , ,18,1,18
2801,1,1,1,1,2,40,1,44,2,2,15,5,1,2,2,13,4,1,2, , , , , , , , , , ,16,1,9
2807,1,1,1,1,2,36,1,46,2,1,16,5,1,2,1,13,4,1,2, , , , , , , , , , ,18,4,18
2809,1,1, , ,2,36,1,35,2,1,6,2,1,2,2,1,1,1,2, , , , , , , , , , ,8,1,4
2811,1,1, , ,2,40,1,40,2,2,6,2,1,2,2,2,1,1,2, , , , , , , , , , ,14,1,10
2813,1,1,1,1,2,42,1,44,3,2,14,4,1,2,1,14,4,1,2,2,8,2,1,2, , , , , ,17,1,17
2817,1,1, , ,2,36,1,36,2,1,7,2,1,2,1,4,1,1,2, , , , , , , , , , ,12,1,36
